"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FUT9",3.2731507946425e-20,-2.22219815340455,0.008,0.023,1.0977493135072e-15
"TNFRSF4",3.33786203192635e-20,-2.028470778163,0.034,0.059,1.11945216826746e-15
"RBM38",3.34397464453651e-20,-1.45834111478702,0.105,0.14,1.12150221628466e-15
"SP110",3.38250069532639e-20,-0.963947544720322,0.199,0.236,1.13442308319857e-15
"HEXB",3.39405005936744e-20,-0.174943944627351,0.362,0.281,1.13829650891065e-15
"KIAA0513",3.39871456155698e-20,-1.61219260485088,0.024,0.046,1.13986088965498e-15
"ANKRD6",3.4129746714745e-20,0.555161689350903,0.073,0.045,1.14464344531912e-15
"DPY19L2",3.41446695807122e-20,1.02507900124815,0.038,0.018,1.14514392839793e-15
"SLC9A3",3.4388867511629e-20,0.248013391019255,0.07,0.042,1.15333383860501e-15
"EBNA1BP2",3.45368773299614e-20,-0.135996181833697,0.404,0.304,1.15829779189224e-15
"PLCB3",3.51566383250887e-20,0.159077107967287,0.125,0.087,1.17908333614682e-15
"SNHG15",3.56378422751181e-20,-0.10658717837002,0.382,0.302,1.19522195422291e-15
"RNF41",3.79727843830403e-20,-0.101454135701488,0.243,0.185,1.27353124263841e-15
"APOB",3.80957531139244e-20,1.40033852810456,0.016,0.004,1.2776553679348e-15
"GPX3",3.83577906762149e-20,0.297804366384412,0.134,0.094,1.2864435836989e-15
"NAGA",3.9048060367649e-20,-1.23648228250394,0.107,0.142,1.30959384861021e-15
"B3GALT6",3.91621465416894e-20,-0.112086286666514,0.181,0.133,1.31342007071518e-15
"COMMD3",3.93277072346832e-20,-0.145274203304529,0.375,0.291,1.31897264523681e-15
"TMEM120B",4.04158531830031e-20,-0.151033419804949,0.148,0.106,1.35546688405156e-15
"MRPL13",4.17586252924847e-20,-0.130442478964547,0.445,0.337,1.40050077505935e-15
"DPP6",4.33095879626713e-20,-2.14935215152042,0.008,0.023,1.45251696109207e-15
"IL18RAP",4.3800999298462e-20,-6.25422767788477,0.001,0.01,1.46899791447182e-15
"ZNF623",4.49571571590197e-20,0.169271291279395,0.087,0.055,1.5077731367992e-15
"RBM41",4.52275333050532e-20,0.104403927499907,0.152,0.11,1.51684101198487e-15
"MAP3K7CL",4.60291461393761e-20,1.1247984059342,0.043,0.022,1.5437255032224e-15
"LIPE",4.61618916292727e-20,-1.86240523919275,0.021,0.041,1.54817752146255e-15
"NLRX1",4.93763731949366e-20,0.617578112093668,0.056,0.031,1.65598480421178e-15
"AL669970.3",5.11254755472098e-20,0.305525603282698,0.084,0.054,1.71464619890232e-15
"AC074327.1",5.12792760222727e-20,-3.31708603654624,0.001,0.011,1.71980435923498e-15
"NXPH2",5.17093680994514e-20,2.71891795012752,0.015,0.004,1.7342287873194e-15
"OR51E1",5.24164400275173e-20,2.14911408589853,0.013,0.002,1.75794256564288e-15
"PPARG",5.43299650354487e-20,0.355984702648434,0.095,0.063,1.82211836735888e-15
"TRPM4",5.53654110294901e-20,0.194354688143895,0.058,0.033,1.85684515510704e-15
"DIO2",5.555676503994e-20,1.33479551061128,0.054,0.031,1.86326278590951e-15
"BOLA3-AS1",5.55581660883027e-20,0.180409736145165,0.076,0.047,1.8633097742695e-15
"TLR10",5.57948491895161e-20,-3.08115100358863,0.002,0.012,1.87124765211799e-15
"UNC93B1",5.59504035004768e-20,-1.39234250350501,0.16,0.193,1.87646463259899e-15
"TRIB1",5.70460536083455e-20,-1.11301557101778,0.229,0.262,1.91321054591669e-15
"FBXO27",5.89387275865506e-20,0.692275185172081,0.048,0.025,1.97668704579773e-15
"APOBEC3A",5.92104867802169e-20,-2.70607467101204,0.003,0.015,1.98580130563492e-15
"ICAM3",5.95290073957291e-20,-1.76692238349867,0.09,0.121,1.99648385003796e-15
"IRF3",6.32667279706867e-20,-0.158659505414557,0.33,0.257,2.12183952268089e-15
"KCTD6",6.35476087582442e-20,0.169200291972215,0.108,0.073,2.131259702534e-15
"FCN1",6.39796227146524e-20,-2.30092553738704,0.01,0.026,2.14574858660401e-15
"RASSF7",6.52960938666554e-20,0.112848323404959,0.105,0.07,2.18990039609989e-15
"ATP5S",6.60302225918574e-20,-0.126357945790585,0.208,0.155,2.21452160528571e-15
"TTC26",6.66350183948399e-20,0.385634921560888,0.074,0.045,2.23480524692614e-15
"ARHGAP26",6.68491440559463e-20,-0.610164492952656,0.125,0.165,2.24198659334833e-15
"PYCARD",6.84473720602351e-20,-1.06994860508304,0.311,0.328,2.29558796415617e-15
"STRIP2",7.06782464584669e-20,0.474110338572694,0.05,0.027,2.37040702972406e-15
"HKR1",7.19326065830354e-20,0.313371407635404,0.094,0.061,2.41247575958184e-15
"DPAGT1",7.26662684676541e-20,0.129276040457355,0.16,0.117,2.43708131186818e-15
"CYP1B1-AS1",7.28518344861408e-20,1.59190741060207,0.015,0.004,2.44330482499619e-15
"RUNX1T1",7.46249019611596e-20,0.346233958816302,0.091,0.058,2.50276996197337e-15
"ZNF574",7.59736793535786e-20,0.225745181355792,0.079,0.049,2.54800525816032e-15
"MVB12B",7.70608514186399e-20,-1.65275540396643,0.095,0.128,2.58446683487835e-15
"IRAK1BP1",7.72409228049188e-20,0.543519250780517,0.076,0.048,2.59050606903137e-15
"SMS",7.92026451306983e-20,0.207964407669995,0.532,0.46,2.65629831239336e-15
