"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"NMB","OK",7.40068139162361e-40,13.1605453632208,0.0251891438725,"NMB",2.14588260850414e-39
"SEC11A","OK",0,107.409569182238,0.206568039177924,"SEC11A",0
"AC115102.1","OK",1.21216035976184e-119,23.2271013483532,0.0246759193122428,"AC115102.1",4.9019274872705e-119
"ZNF592","OK",7.84171186131246e-09,5.65391451251363,0.0108117455039755,"ZNF592",1.54783233497449e-08
"ALPK3","OK",5.652261903565e-137,24.8832216994752,0.0475706208327891,"ALPK3",2.39366454202385e-136
"SLC28A1","OK",0.00586050041939796,2.52043462619098,0.00367483772456355,"SLC28A1",0.00933104501113922
"PDE8A","OK",1.34951368827126e-111,22.4168004674973,0.0429882346948807,"PDE8A",5.33665547953644e-111
"AKAP13","OK",0,108.242131115592,0.208066768843234,"AKAP13",0
"AC087286.3","OK",0.610044974029038,-0.279436254113077,-0.00051669083017511,"AC087286.3",0.629623523465529
"AC087286.2","OK",0.0647996170207056,1.51568416310251,0.00262775356384079,"AC087286.2",0.0958476114443933
"AC087286.1","OK",0.533465446704379,-0.0839840583346658,-0.000170603442473261,"AC087286.1",0.605471518153607
"AC021739.4","OK",0.474698852119428,0.0634631473233253,6.35795969965761e-05,"AC021739.4",0.605471518153607
"AC021739.2","OK",0.0333495222942204,1.83369659339661,0.00342236166717904,"AC021739.2",0.0505142755211899
"AC021739.5","OK",0.527288432895946,-0.0684553851567858,-0.00011974424051862,"AC021739.5",0.605471518153607
"AC021739.3","OK",0.488842834446316,0.0279705133337073,1.39097710491182e-06,"AC021739.3",0.605471518153607
"KLHL25","OK",6.91947622352705e-05,3.81102900878169,0.00720662449066271,"KLHL25",0.000120800884949593
"LINC01584","FAIL",NA,NA,NA,"LINC01584",1
"AGBL1","OK",0.579688964125142,-0.201097838946641,-0.000367893846660082,"AGBL1",0.612223382239123
"AGBL1-AS1","FAIL",NA,NA,NA,"AGBL1-AS1",1
"AC012229.1","FAIL",NA,NA,NA,"AC012229.1",1
"AC016987.1","FAIL",NA,NA,NA,"AC016987.1",1
"AC078905.1","FAIL",NA,NA,NA,"AC078905.1",1
"AC020687.1","FAIL",NA,NA,NA,"AC020687.1",1
"LINC00052","OK",0.283844706748857,0.571457718520901,0.000906479440568927,"LINC00052",0.390769003130246
"NTRK3","OK",0,104.391915338713,0.200421861101001,"NTRK3",0
"NTRK3-AS1","OK",NA,NA,-4.19656068416657e-05,"NTRK3-AS1",NA
"MRPL46","OK",1.8146678694515e-81,19.0810444233906,0.0366245017875838,"MRPL46",6.48525709873735e-81
"MRPS11","OK",0,38.7250728766266,0.0744044605489536,"MRPS11",0
"DET1","OK",0.00218481686352519,2.85016657965633,0.00540715642379365,"DET1",0.00355890486377252
"LINC01586","FAIL",NA,NA,NA,"LINC01586",1
"AEN","OK",2.36923911883714e-180,28.6121917592019,0.054933888935147,"AEN",1.09878640716484e-179
"ISG20","OK",0,181.115908356859,0.347973211838089,"ISG20",0
"AC103982.1","OK",NA,NA,-5.23782582746468e-05,"AC103982.1",NA
"ACAN","OK",0,71.9754462431353,0.137604936236659,"ACAN",0
"HAPLN3","OK",2.82059165657525e-135,24.725841720262,0.0473790015057378,"HAPLN3",1.18730516525778e-134
"MFGE8","OK",0,133.793314745909,0.257186143069273,"MFGE8",0
"AC013565.1","OK",0.570010764732492,-0.176401571005219,-0.000305292505740907,"AC013565.1",0.608774684795017
"AC013565.3","OK",0.45036182274504,0.124747255000929,0.000175096207372784,"AC013565.3",0.594772089705097
"ABHD2","OK",7.43005273801999e-50,14.7990341746057,0.0283931045883607,"ABHD2",2.29287352245999e-49
"RLBP1","OK",0.295487775784756,0.537422866779065,0.000865382842518545,"RLBP1",0.405712216822669
"FANCI","OK",0,54.6465084842661,0.104816757799963,"FANCI",0
"POLG","OK",1.17995803817389e-08,5.58330407348163,0.0106776785586262,"POLG",2.31870447573174e-08
"AC124068.2","OK",0.00721908575417964,2.44617296863173,0.00461764988204,"AC124068.2",0.011443574336196
"MIR9-3HG","OK",1.60512960185004e-08,5.52956495412133,0.010342294077024,"MIR9-3HG",3.14268267393444e-08
"RHCG","OK",0.0329043818343968,1.8397240306375,0.00317226166223852,"RHCG",0.0498609984680657
"LINC00928","FAIL",NA,NA,NA,"LINC00928",1
"AC013391.3","OK",0.633153387255842,-0.340216855702114,-0.000642268997514596,"AC013391.3",0.646909780266346
"TICRR","OK",2.44859812384924e-91,20.2341784294022,0.0380937311945089,"TICRR",9.05507105483331e-91
"AC013391.1","FAIL",NA,NA,NA,"AC013391.1",1
"KIF7","OK",0.000489994738381533,3.29620938164624,0.00625877688114211,"KIF7",0.000823167647003794
"PLIN1","OK",0.426242972341505,0.18594748396109,0.000288967637257531,"PLIN1",0.566510960234114
"PEX11A","OK",7.93862013153057e-11,6.396698488166,0.0122033990394595,"PEX11A",1.64664959706517e-10
