"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AQR","OK",5.4064361235139e-05,3.87158773779485,0.00739622340235691,"AQR",9.48327271602584e-05
"ZNF770","OK",6.1951804803267e-19,8.8111182229722,0.0168922054241588,"ZNF770",1.4705313041446e-18
"DPH6","OK",0.00132270500647331,3.00619303516004,0.00572647313097914,"DPH6",0.00217766834703894
"DPH6-DT","OK",1.69970168025887e-05,4.14491462754965,0.00745790381428062,"DPH6-DT",3.03633455369278e-05
"AC087516.1","OK",0.000232707580912722,3.49991005949525,0.00496965896186462,"AC087516.1",0.000396916178406149
"C15orf41","OK",0.00028694131394994,3.44366672908714,0.00654433869135838,"C15orf41",0.000487342009259632
"MEIS2","OK",1.80091154237202e-218,31.5279064388536,0.0604180055903401,"MEIS2",8.93402407735269e-218
"AC078909.1","OK",0.0130037378960597,2.22610012181787,0.00410708624894459,"AC078909.1",0.0202553588807367
"LINC02345","OK",3.30351861024266e-119,23.1839766264753,0.0420936423844983,"LINC02345",1.33464481631314e-118
"LINC01852","OK",3.95658647649775e-09,5.77029744758752,0.0107956961542708,"LINC01852",7.87381325806113e-09
"SPRED1","OK",0,67.8636657516962,0.130408512512052,"SPRED1",0
"FAM98B","OK",4.77531510549856e-18,8.57923485099526,0.0164386985359816,"FAM98B",1.1184407410258e-17
"RASGRP1","OK",0,109.999329584602,0.211002611533326,"RASGRP1",0
"C15orf53","OK",6.89217929301925e-21,9.30198818961855,0.0171188354752241,"C15orf53",1.67736092748714e-20
"AC022929.2","OK",0.0163445009535212,2.13588238280538,0.00370340863115675,"AC022929.2",0.0253105296451714
"AC013652.1","OK",0.0229352958141147,1.9965821673581,0.00374171156650685,"AC013652.1",0.0351710814802321
"THBS1","OK",0,172.427357491621,0.330952543375401,"THBS1",0
"FSIP1","OK",0.00106458713879286,3.0715963612157,0.00573712284773708,"FSIP1",0.00176203187473983
"GPR176","OK",1.97150536892886e-76,18.4650988104961,0.0352915954919753,"GPR176",6.92885726843571e-76
